縣市,行政區,租賃年月日,建物型態,主要用途,租賃層次,總樓層數,建築完成年月,建物面積平方公尺,建物面積坪,房,廳,衛,有無隔間,有無傢俱,有無電梯,出租型態,月租金元,每坪月租金元,案件編號
臺北市,大同區,1140811,公寓(5樓含以下無電梯),住家用,三層,4,0651016,98.55,29.81,5,1,2,有,有,無,整棟(戶)出租,28500,956.0,RPRNMLPKQHKGFBA18CC
臺北市,萬華區,1140812,公寓(5樓含以下無電梯),住家用,四層,5,0640523,32.51,9.83,1,1,1,有,有,無,獨立套房,16000,1627.0,RPUNMLPKQHKGFBA48CC
臺北市,萬華區,1140815,公寓(5樓含以下無電梯),住家用,三層,4,0601114,81.34,24.61,3,2,1,有,有,無,整棟(戶)出租,15000,610.0,RPQOMLPKQHKGFBA18CC
臺北市,中山區,1140813,華廈(10層含以下有電梯),住家用,七層,9,0650907,48.28,14.6,1,0,1,有,有,有,獨立套房,18800,1287.0,RPROMLPKQHKGFCA38CC
臺北市,中山區,1140813,華廈(10層含以下有電梯),住家用,七層,8,0651108,33.32,10.08,1,0,1,有,有,有,獨立套房,17000,1687.0,RPVOMLPKQHKGFCA78CC
臺北市,松山區,1140814,公寓(5樓含以下無電梯),住家用,四層,4,0710728,126.48,38.26,3,2,2,有,有,無,整棟(戶)出租,35100,917.0,RPSNMLPKQHKGFDA48CC
臺北市,南港區,1140812,公寓(5樓含以下無電梯),住家用,二層,5,0810418,107.80999999999999,32.61,3,2,2,有,有,無,整棟(戶)出租,26000,797.0,RPOOMLPKQHKGFDA18CC
臺北市,信義區,1140811,華廈(10層含以下有電梯),住家用,四層,7,0810822,41.050000000000004,12.42,1,0,1,有,有,有,獨立套房,22000,1772.0,RPPOMLPKQHKGFDA28CC
臺北市,松山區,1140814,公寓(5樓含以下無電梯),住家用,三層,5,0890705,37.99,11.49,1,1,1,有,有,無,獨立套房,21000,1827.0,RPSOMLPKQHKGFDA58CC
臺北市,南港區,1140813,公寓(5樓含以下無電梯),住家用,三層,4,0660521,75.71,22.9,3,2,1,有,有,無,整棟(戶)出租,21000,917.0,RPTOMLPKQHKGFDA68CC
臺北市,信義區,1140815,公寓(5樓含以下無電梯),住家用,三層,4,0570924,24.18,7.31,4,4,4,有,無,無,分租套房,19000,2598.0,RPUOMLPKQHKGFDA78CC
臺北市,信義區,1140811,公寓(5樓含以下無電梯),住家用,三層,4,0570924,24.18,7.31,4,4,4,有,無,無,分租套房,19000,2598.0,RPVOMLPKQHKGFDA88CC
臺北市,松山區,1140812,華廈(10層含以下有電梯),集合住宅,四層,7,0810413,92.73,28.05,2,1,1,有,有,有,整棟(戶)出租,26000,927.0,RPXOMLPKQHKGFDA09CC
臺北市,信義區,1140812,住宅大樓(11層含以上有電梯),集合住宅,六層,12,0720901,110.11,33.31,3,2,2,有,無,有,整棟(戶)出租,51500,1546.0,RPRPMLPKQHKGFDA58CC
臺北市,士林區,1140813,公寓(5樓含以下無電梯),住家用,四層,5,0720907,101.9,30.82,3,2,2,有,有,無,整棟(戶)出租,25000,811.0,RPXNMLPKQHKGFEA09CC
臺北市,大安區,1140812,華廈(10層含以下有電梯),住家用,二層,6,0960913,23.16,7.01,1,1,1,有,有,有,獨立套房,17500,2498.0,RPRNMLPKQHKGFFA58CC
臺北市,中正區,1140813,公寓(5樓含以下無電梯),住家用,四層,5,0750108,15.5,4.69,5,2,2,有,無,無,分租雅房,12500,2666.0,RPPNMLQKQHKGFAA97CC
臺北市,信義區,1140811,公寓(5樓含以下無電梯),住家用,一層,4,0660303,76.5,23.14,3,2,1,有,無,無,,35000,1512.0,RPSNMLQKQHKGFDA58CC
臺北市,士林區,1140815,店面(店鋪),住商用,一層,4,0610612,96.32,29.14,0,0,0,無,無,無,,73000,2505.0,RPQNMLRKQHKGFEA58CC
臺北市,大安區,1140812,公寓(5樓含以下無電梯),住家用,三層,4,,15.0,4.54,5,0,3,有,有,無,分租套房,19800,4364.0,RPUNMLRKQHKGFFA09CC
臺北市,大安區,1140811,公寓(5樓含以下無電梯),住家用,四層,4,,14.0,4.24,5,0,4,有,有,無,分租套房,18800,4439.0,RPXNMLRKQHKGFFA76CC
臺北市,大安區,1140812,公寓(5樓含以下無電梯),住家用,四層,4,,16.0,4.84,5,0,4,有,有,無,分租套房,18800,3884.0,RPOOMLRKQHKGFFA58CC
臺北市,文山區,1140814,華廈(10層含以下有電梯),住家用,二層,8,0860613,127.87,38.68,3,2,2,有,有,有,整棟(戶)出租,30000,776.0,RPQNMLSKQHKGFAA28CC
臺北市,中正區,1140813,公寓(5樓含以下無電梯),住家用,四層,5,0741115,90.91,27.5,3,2,1,有,有,無,整棟(戶)出租,25000,909.0,RPRNMLSKQHKGFAA38CC
臺北市,中山區,1140814,公寓(5樓含以下無電梯),住家用,五層,5,0731226,114.29,34.57,4,2,1,有,有,無,整棟(戶)出租,31200,902.0,RPTOMLSKQHKGFCA88CC
臺北市,內湖區,1140814,華廈(10層含以下有電梯),住家用,五層,7,0830719,148.1,44.8,3,2,2,有,無,有,整棟(戶)出租,31200,696.0,RPVOMLSKQHKGFCA09CC
臺北市,中山區,1140815,公寓(5樓含以下無電梯),住家用,三層,3,,60.8,18.39,1,0,1,有,有,無,獨立套房,17000,924.0,RPRPMLSKQHKGFCA78CC
臺北市,中山區,1140814,公寓(5樓含以下無電梯),住家用,四層,4,0641219,114.62,34.67,2,2,2,有,有,無,整棟(戶)出租,28000,808.0,RPSPMLSKQHKGFCA88CC
臺北市,信義區,1140816,住宅大樓(11層含以上有電梯),住家用,十二層,14,0970205,45.09,13.64,0,0,0,無,無,有,整棟(戶)出租,29000,2126.0,RPQNMLSKQHKGFDA58CC
臺北市,南港區,1140813,住宅大樓(11層含以上有電梯),多戶住宅、集合住宅,三層,15,1130429,62.239999999999995,18.83,2,1,1,有,無,有,整棟(戶)出租,30000,1593.0,RPUNMLSKQHKGFDA98CC
臺北市,南港區,1140814,公寓(5樓含以下無電梯),住家用,四層,5,0740724,92.96,28.12,3,2,2,有,有,無,整棟(戶)出租,26000,925.0,RPSOMLSKQHKGFDA88CC
臺北市,信義區,1140815,住宅大樓(11層含以上有電梯),住家用,六層,12,0701231,103.99,31.46,3,2,2,有,有,有,整棟(戶)出租,35000,1113.0,RPVOMLSKQHKGFDA56CC
臺北市,信義區,1140815,公寓(5樓含以下無電梯),住家用,二層,4,0650415,117.92,35.67,4,2,2,有,有,無,整棟(戶)出租,15000,421.0,RPQPMLSKQHKGFDA78CC
